text,label,TOXICITY,SEVERE_TOXICITY,IDENTITY_ATTACK,INSULT,PROFANITY,THREAT,SEXUALLY_EXPLICIT,OBSCENE,SPAM
I've had my concept of the idea of indigenous city to land refined primarily by guy,0,0.10933226,0.04169238,0.16802593,0.08898109,0.0576009,0.058338895,0.052738417,0.06107187,0.106717475
 I always thought the idea of the promised land and the prom and the prayer to Jerusalem,0,0.084467955,0.048823148,0.17521457,0.03873616,0.048306435,0.1421737,0.033292864,0.07542234,0.068429425
 And next next year in Jerusalem was something spiritual and of faith,0,0.08660884,0.050958388,0.17043206,0.03322089,0.048843794,0.12677965,0.050410945,0.039205663,0.14153384
" But I have another layer added to my understanding of that, which is that there's a sense that the people were there, they see it as sort of a displacement and then to tha or however thousands of years later they go back",0,0.053984266,0.019198531,0.036112484,0.023473255,0.02935073,0.061183456,0.036022972,0.016423889,0.032291383
 So there's another layer added to my knowledge mine as well,0,0.06461818,0.023378544,0.041057516,0.033214726,0.044095837,0.060323473,0.059910513,0.062504925,0.60977566
" Yeah, might as well is definitely and most notably is the terminology, how, how certain terms do define as different for different groups of people according to their culture and society and according to their personal experiences",0,0.040593892,0.016241789,0.05575363,0.01911928,0.019157395,0.029820878,0.019234177,0.016572677,0.025268327
" And I definitely learned that zionism especially this word with as as mary put it, it's a harsh z that could be the source of many different, many different and many multi layered, multicultural meanings",0,0.20785095,0.109656855,0.21264611,0.22171333,0.1247867,0.20818488,0.10060736,0.080222875,0.33766505
 Anyone else want to go jump in? I can go after you,0,0.24455658,0.14351603,0.09523138,0.12756975,0.1289878,0.59527606,0.10183222,0.06339168,0.09644469
 Very good taking Muhammad if he doesn't want to talk,0,0.1792855,0.11735503,0.38168406,0.14075407,0.1327013,0.19046715,0.10800227,0.053422906,0.036275107
 It's some the great chance to connect and to discuss with because another people want to face in in Palestine in or stand or around the world to get you guys point of view,0,0.08363795,0.036001734,0.15855552,0.062178344,0.031701382,0.09923441,0.048568133,0.08609475,0.40960526
 There's a great level of understanding and empathy from a lot of you out there to the plight of the Palestinians,0,0.2413586,0.12167872,0.39772794,0.17833859,0.08468479,0.18412486,0.057241533,0.011131718,0.028684147
